""	"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"pbqc_test_data"	"pbQC001"	"pbQC002"	"pbQC003"	"pbQC004"	"pbQC005"	"isotopes"	"adduct"	"pcgroup"
"1182"	873.667339130522	873.666807658758	873.667498678987	482.146	478.047	490.348	3	3	10678.623046875	13692.96875	9165.982421875	5759.970703125	0	"[94][M+2]-"	""	"92"
"1183"	874.670895583876	874.670741220049	874.671797249049	482.146	478.047	488.298	3	3	5528.58251953125	6912.59423828125	4762.52490234375	3048.25048828125	0	"[94][M+3]-"	""	"92"
"1184"	882.520833652717	882.520753026687	882.52154700107	405.55	400.14	418.591	3	3	11078.7734375	18312.296875	17183.67578125	864.372192382812	0	""	""	"78"
"1185"	887.559926496857	887.559911368466	887.560491864121	405.55	400.14	418.591	3	3	37041.92578125	65832.78125	70123.0234375	1711.41735839844	556.398376464844	""	""	"78"
"1186"	890.553450025046	890.55205714413	890.553496507664	357.086	354.255	361.186	3	3	19202.8671875	25170.8671875	26118.322265625	28851.720703125	2290.86083984375	"[95][M]-"	"[M+Cl]- 855.592"	"140"
"1187"	891.55673106717	891.555960857773	891.557554967617	357.086	356.285	361.186	3	3	10825.0810546875	14565.8076171875	14608.7578125	14768.294921875	0	"[95][M+1]-"	""	"140"
"1188"	892.5687199665	892.568229730397	892.569475800264	357.086	356.285	361.186	3	3	24528.484375	35958.63671875	33961.609375	35211.65234375	0	"[95][M+2]-"	""	"140"
"1189"	893.572640863578	893.571930100396	893.572802035484	357.086	356.285	361.186	3	3	13171.384765625	17159.3671875	18892.310546875	20102.173828125	0	"[95][M+3]-"	""	"140"
"1190"	894.58334121372	894.582986963696	894.583896758798	357.086	354.255	361.186	3	3	17541.296875	25670.17578125	25081.9921875	23790.859375	0	"[95][M+4]-"	""	"140"
"1191"	895.587919392164	895.587608743183	895.588010852669	357.086	354.255	361.186	3	3	9148.3583984375	12921.35546875	12355.0810546875	13576.2001953125	0	""	"[M-H+NH3]- 879.579"	"140"
"1192"	896.598196156575	896.597604352015	896.598254632608	357.086	354.255	361.186	3	3	8799.7001953125	11039.8857421875	10061.091796875	10622.9931640625	0	""	""	"140"
"1193"	897.602488661025	897.602005583339	897.603527382345	357.086	356.285	361.186	3	3	3717.72900390625	5010.38232421875	5130.40234375	4908.01953125	0	""	""	"140"
"1194"	908.704416414035	908.703904850795	908.705758657894	1682.59	1677.41	1696.01	4	4	3172.34838867188	3818.53686523438	2435.1201171875	3902.68212890625	2537.68310546875	""	"[3M-2H+Na]- 295.907"	"50"
"1195"	909.548078712788	909.547829531454	909.54811963868	399.339	391.939	410.391	3	3	7800.02490234375	12431.349609375	13574.9423828125	0	0	"[96][M]-"	""	"118"
"1196"	910.551694002377	910.551471058207	910.551755649185	399.339	391.939	410.391	3	3	4684.83056640625	7409.0498046875	7917.2099609375	0	942.042724609375	"[96][M+1]-"	""	"118"
